x,a
-551.37,-64.219
-542.96,-73.263
-529.52,-67.006
-503.62,-63.791
-490.86,-70.789
-474.06,-66.278
-452.21,-63.876
-440.44,-68.751
-430.36,-65.405
-405.15,-63.384
-395.94,-68.067
-381.91,-65.279
-358.09,-63.182
-346.33,-68.459
-330.85,-65.951
-308.36,-62.946
-299.27,-68.459
-292.14,-65.69
-260.96,-63.652
-252.21,-69.622
-235.4,-66.13
-204.93,-63.765
-180.15,-68.082
-173.79,-66.296
-164.81,-64.083
-153.05,-69.476
-136.24,-66.274
-121.12,-63.932
-104.31,-67.875
-92.54,-64.964
-54.66,-62.085
-40.4,-65.147
-29.81,-63.314
3.89,-62.07