x,B
-461.181,-2.734
-457.912,-2.7682
-455.757,-2.6805
-452.67,-2.34
-450.982,-2.4942
-448.974,-2.4916
-446.021,-2.3859
-443.816,-2.7016
-441.143,-2.785
-438.652,-2.7404
-436.386,-3.0278
-432.999,-3.1753
-430.253,-3.2108
-428.295,-3.476
-425.202,-3.5371
-420.039,-3.577
-415.949,-3.9367
-411.622,-4.0106
-407.869,-3.8907
-403.8,-3.9689
-399.247,-3.9939
-393.997,-4.0185
-390.528,-4.2949
-385.093,-4.4936
-381.034,-4.3489
-377.961,-4.3651
-374.812,-4.2636
-370.905,-4.2235
-365.71,-4.5377
-361.379,-4.6873
-359.6,-4.652