x,Stim=low
-3833.28,192.563
-3818.45,174.336
-3785.11,189.741
-3748.06,192.091
-3741.35,174.671
-3703.6,189.975
-3677.66,191.62
-3670.25,185.038
-3640.61,191.385
-3603.56,192.559
-3591.68,168.598
-3559.1,189.033
-3525.75,192.088
-3514.64,167.172
-3488.7,187.856
-3451.65,191.852
-3440.54,175.162
-3414.6,188.325
-3373.85,191.616
-3362.73,170.46
-3333.09,188.089
-3296.04,191.614
-3288.63,172.81
-3247.87,189.968
-3221.94,191.613
-3214.53,165.757
-3181.18,186.676
-3144.13,190.437
-3136.72,170.457
-3107.08,189.026
-3070.03,191.141
-3058.91,166.224
-3029.27,187.849
-2992.22,191.61
-2981.11,176.801
-2955.17,189.259
-2918.12,191.609
-2903.3,181.736
-2873.66,189.728
-2844.02,191.373
-2834.76,168.16
-2795.85,188.551
-2763.43,191.313
-2754.17,180.088
-2722.68,190.254
-2688.4,191.899
-2679.14,163.809
-2648.58,189.137
-2612.45,191.428
-2604.11,183.671
-2577.25,190.135
-2534.64,191.427
-2525.38,178.616
-2497.59,189.252
-2461.47,191.367
-2445.72,181.612
-2423.49,189.133
-2381.81,191.424
-2373.47,172.737
-2342.91,189.073
-2305.86,191.952
-2297.52,182.667
-2269.73,190.071
-2227.12,191.598
-2217.86,178.905
-2191.92,189.482
-2153.95,191.656
-2142.83,176.553
-2115.04,189.011
-2079.85,191.596
-2075.21,166.974
-2039.09,188.599
-2002.04,191.419
-1990,178.079
-1961.28,189.714
-1926.08,191.77
-1917.75,178.489
-1886.25,190.124
-1848.28,191.593
-1838.09,183.836
-1818.64,189.712
-1775.1,191.65
-1767.69,174.961
-1730.64,190.239
-1699.15,191.708
-1692.66,171.258
-1660.24,188.417
-1622.27,191.119
-1614.86,168.024
-1583.36,187.886
-1546.31,191
-1533.99,173.971
-1500.14,189.518
-1470.97,191.443
-1455.8,171.008
-1431.29,189.221
-1392.78,191.516
-1384.61,177.893
-1357.77,189.072
-1318.09,191.441
-1306.42,175.3
-1280.74,188.849
-1242.23,191.366
-1232.89,176.261
-1195.55,189.958
-1162.87,191.586
-1151.2,177.149
-1122.03,189.439
-1090.52,191.363
-1081.18,173.075
-1048.5,189.438
-1012.33,191.436
-999.49,175.518
-970.31,189.288
-934.13,191.139
-923.63,169.223
-896.79,188.843
-859.44,191.286
-851.28,169.962
-818.6,189.36
-782.42,191.655
-775.42,166.555
-747.41,186.99
-708.9,191.654
-697.23,168.923
-670.39,188.988
-628.37,191.504
-622.54,180.917
-596.86,189.653
-553.68,191.281
-545.51,168.773
-516.34,189.578
-481.33,191.502
-470.82,173.14
-445.15,188.54
-400.8,191.131
-396.13,170.696
-361.12,188.687
-326.11,190.982
-314.44,174.174
-287.6,188.982
-252.59,191.425
-240.92,174.099
-212.91,188.314
-188.4,190.387