x,postsynaptic
1114.6,18.73
1129.53,-1.109
1140.96,3.3871
1170.46,7.4729
1213.16,1.3078
1258.54,4.9688
1318.97,12.0048
1329.53,6.5882
1337.48,9.5427
1346.61,9.8639
1359.55,1.9824
1377.25,5.1862
1399.54,6.9412
1408.55,5.2526
1472.27,10.6118
1585.87,15.772
1591.88,7.7601
1604.05,13.7564
1621.99,14.7777
1635.19,8.9134
1642.02,11.1867
1661.23,11.8786
1672.57,7.4792
1709.88,10.3961
1827.79,15.7271
1848.19,9.7749
1858.09,12.2254
1870.42,12.8544
1879.21,8.8924
1886.17,13.4906
2015.64,18.6547
2023.4,15.533
2038.38,16.6281
2064.97,17.1921
2072.26,11.7489
2093.34,15.3032
2322.77,17.3841
2325.73,11.3643
2337.26,14.8512
2355.77,16.0873
2362.65,6.9296
2379.23,14.2918
2563.2,18.1252
2570.61,14.4381
2581.54,17.5499
2601.65,18.0183
2608.06,13.2912
2620.4,15.0658
2634.67,15.7196
2637.95,13.6015
2661.5,15.955
2780.27,18.8847
2785.87,12.9481
2793.03,15.6938
2851.28,17.2629
2867.79,11.144
2881.4,15.2757
2923.26,17.2631