x,AAC
-2445.24,261.68
-2443.44,236.6
-2440.96,255.01
-2440.92,248.35
-2440.81,190.41
-2438.69,229.14
-2435.78,254.39
-2434.25,194.86
-2432.67,206.61
-2431.09,217.25
-2429.4,131.69
-2426.72,156.14
-2425.95,183.92
-2424.36,114.71
-2422.76,123.76
-2421.85,127.89
-2418.53,84.72
-2417.78,115.99
-2414.91,149.33
-2409.2,98.06
-2406.3,126.16
-2403.15,149.82
-2399.58,143.47
-2398.88,156.03
-2396.99,182.05
-2392.4,163.01
-2391.09,179.84
-2386.58,213.5
-2382.32,170.48
-2378.91,189.69
-2378.06,205.09
-2373.71,185.73
-2372.38,200.02
-2370.33,211.13
-2362.68,191.94
-2362.3,207.18
-2358.45,216.97
-2354.77,196.17
-2353.07,209.57
-2350.17,220.78
-2348.26,198.18
-2343.93,217.98
-2341,225.39
-2337.9,201.79
-2335.06,222.4
-2332.12,227.8
-2326.96,206.81
-2324.68,222.81
-2318.66,232.42
-2315.15,215.22
-2313.44,227.62
-2309.02,231.83
-2305.59,203.63
-2304.38,225.24
-2302.5,233.64
-2299.56,212.04
-2298.31,225.84
-2296,236.55
-2291.15,219.35
-2290.48,231.65
-2287.56,238.96
-2284.78,219.56
-2283.81,231.06
-2282.07,237.76
-2280.77,219.67
-2279.49,228.47
-2277.48,239.87
-2275.88,218.87
-2275.05,229.97
-2272.57,235.68
-2272.44,215.18
-2269.41,228.18
-2266.63,235.48
-2263.31,224.59
-2262.45,229.69
-2260.6,243.39
-2257.68,226.2
-2255.97,237.4
-2254.1,246.5
-2251.88,222.7
-2250.61,233.5
-2248.55,237.01
-2245.72,210.01
-2244.04,226.71
-2243.69,241.61
-2237.96,226.22
-2237.72,236.02
-2235.29,250.89
-2231.36,217.63
-2230.71,234.52
-2226.96,245.86
-2224.64,219.66
-2223.62,236.04
-2221.28,243.2
-2217.53,216.9
-2214.3,236.36
-2208.72,245.22
-2208.22,222.95
-2206.79,233.79
-2204.06,242.69
-2200.77,225.48
-2199.64,239.07
-2198.13,256.58
-2188.76,217.18
-2187,235.53
-2184.31,249.99
-2177.17,225.9
-2174.55,233.2
-2171.63,241.91
-2170.01,218.11
-2167.15,235.71
-2161.03,253.52
-2156.53,220.93
-2155.73,235.83
-2153.73,248.63
-2149.48,231.04
-2147.74,238.04
-2145.43,248.24
-2144.42,229.04
-2141.22,239.65
-2140.66,244.25
-2134.77,225.95
-2134.38,235.55
-2129.08,242.26
-2127.02,219.56
-2125.15,230.07
-2123.15,241.67
-2119.9,218.87
-2118.04,229.88
-2117.53,244.48
-2113.4,222.88
-2111.71,238.58
-2109.55,249.29
-2107.91,222.19
-2105.04,238.39
-2099.36,255.1
-2092.48,221.61
-2089.75,236.21
-2087.01,248.02
-2079.42,219.03
-2076.72,238.23
-2073.06,246.13
-2071.44,223.14
-2068.23,232.14
-2067.97,238.84
-2063.32,203.65
-2061.23,227.35
-2052.61,247.56
-2047.57,223.97
-2047.07,239.87
-2045.35,249.57
-2040.05,230.78
-2038.64,243.48
-2035.9,255.98
-2033.06,226.38
-2031.38,243.19
-2029.19,248.99
-2026.99,227.99
-2025.14,241.29
-2021.49,250.8
-2018.38,225.7
-2017.13,240.31
-2016,250.11
-2013.68,234.71
-2011.65,242.21
-2011.4,249.01
-2007.75,234.32
-2007.37,244.42
-2004.61,254.92
-2003.57,228.72
-2001.86,240.32
-1999.67,246.13
-1996.89,227.93
-1995.61,237.83
-1993.29,246.44
-1990.38,229.64
-1989.11,241.94
-1986.21,251.85
-1983.29,234.35
-1982.9,244.05
-1981.08,261.55
-1978.49,225.66
-1977.11,242.16
-1974.94,251.46
-1971.69,229.76
-1971.35,245.86
-1968.72,253.97
-1966.67,232.67
-1965.1,243.57
-1963.5,247.87
-1962.08,233.38
-1960.06,243.48
-1958.92,250.48
-1957.74,227.38
-1956.18,239.08
-1954.44,245.49
-1951.95,226.29
-1950.98,236.29
-1949.33,245.99
-1945.91,231.6
-1945.07,240.8
-1942.44,247
-1942.44,221.6
-1939.42,238.51
-1938.14,246.91
-1934.21,234.11
-1932.62,242.01
-1929.1,248.02
-1925.7,224.82
-1924.61,240.62
-1921.82,245.93
-1919.64,227.93
-1917.49,239.73
-1915.92,250.74
-1911.5,230.04
-1910.53,242.24
-1906.44,251.25
-1902.9,229.55
-1901.47,238.85
-1899.29,246.86
-1897.38,224.36
-1894.8,239.96
-1892.19,248.87
-1888.65,226.67
-1886.2,239.67
-1884.46,245.58
-1881.53,226.68
-1880.57,239.28
-1877.65,247.48
-1875,224.89
-1872.99,236.79
-1871.86,246.69
-1869.54,230.1
-1868.25,236.9
-1866.21,244.1
-1866.08,221.7
-1864.93,227.7
-1863.07,239
-1860.98,211.31
-1859.76,231.21
-1858.36,245.61
-1855.74,228.11
-1854.77,238.91
-1853.34,248.22
-1849.81,228.32
-1848.83,238.22
-1846.65,245.92
-1842.96,223.23
-1842.45,237.83
-1839.84,246.43
-1835.99,223.34
-1835.34,237.94
-1834.64,246.24
-1831.28,228.24
-1831.04,239.04
-1829.62,249.85
-1827.45,232.35
-1826.62,243.65
-1825.17,247.85
-1823.9,234.15
-1823.34,240.55
-1821.47,250.26
-1819.94,216.96
-1817.52,233.96
-1815.22,245.17
-1810.52,228.37
-1809.08,235.67
-1806.79,249.68
-1804.97,216.88
-1802.88,240.48
-1799.1,252.99
-1796.46,233.29
-1795.18,241.69
-1794.49,250.29
-1791.4,229.8
-1789.97,238.8
-1789.02,253.4
-1785.62,229.8
-1785.38,239.6
-1782.91,248.51
-1778.06,230.01
-1777.69,243.31
-1774.18,251.62
-1769.6,228.22
-1769.38,241.42
-1767.06,249.73
-1764.86,229.63
-1763.3,241.53
-1762.62,252.43
-1759.79,224.44
-1758.4,239.94
-1755.63,248.54
-1751.81,229.75
-1749.79,238.85
-1748.06,247.25
-1742.16,226.66
-1738.83,240.06
-1734.3,252.17
-1729.11,226.98
-1728.62,243.78
-1726.32,256.88
-1722.64,235.78
-1721.64,241.59
-1718.13,250.79
-1714.45,229.69
-1714.23,242.09
-1712.69,257.2
-1710.03,234.8
-1708.48,248.1
-1705.46,263.51
-1705.01,237.91
-1702.84,247.31
-1700.79,252.01
-1699.01,226.91
-1697.33,243.42
-1694.88,255.02
-1691.34,233.22
-1690.07,244.23
-1688.65,253.83
-1684.18,225.33
-1683.23,240.13
-1681.63,246.04
-1679.45,228.44
-1677.61,242.54
-1674.53,249.35
-1670.7,228.55
-1669.32,244.65
-1664.01,250.06
-1660.32,228.26
-1659.96,242.66
-1657.06,253.17
-1653.62,223.47
-1652.66,236.77
-1650.34,244.28
-1645.31,221.78
-1643.73,231.09
-1641.41,239.89
-1638.78,220.59
-1636.91,231.09
-1634.19,246.6
-1633.48,226.6
-1631.32,238.7
-1628.27,248.51
-1627.4,226.71
-1624.5,238.31
-1620.7,246.82
-1620.16,231.52
-1616.67,242.22
-1613.29,247.52
-1608.25,222.23
-1607.17,240.73
-1606.53,258.63
-1602.7,236.64
-1600.81,244.24
-1598.33,250.54
-1597.48,231.95
-1594.86,240.85
-1592.95,243.75
-1592.9,210.35
-1589.61,229.86
-1586.7,239.96
-1585.15,228.56
-1583.89,240.16
-1582.62,252.16
-1578,222.27
-1574.08,236.98
-1570.48,253.88
-1569.58,227.78
-1566.09,239.79
-1565.41,249.59
-1562.76,227.09
-1560.92,242.69
-1557.99,248.9
-1556.2,222.1
-1551.7,237.8
-1544.64,248.21
-1537.02,212.52
-1533.29,234.03
-1531.43,244.43
-1527.17,226.94
-1526.66,241.44
-1522.99,247.24
-1519.78,231.15
-1518.22,242.55
-1509.81,248.96
-1504.23,233.47
-1502.78,239.37
-1497.38,253.97
-1494,233.08
-1491.98,244.08
-1487.57,249.49
-1480.21,233.1
-1479.68,243.7
-1475.43,252.4
-1473.03,223.61
-1470.18,242.11
-1468.61,252.61
-1456.74,225.63
-1455.96,244.83
-1455.4,251.23
-1449.37,232.94
-1447.19,241.04
-1444.72,249.24
-1441.66,233.75
-1439.95,245.45
-1432.61,257.16
-1432.18,234.86
-1428.38,244.96
-1426.18,249.17
-1425.63,230.17
-1422.6,245.07
-1420.28,254.37
-1415.58,235.98
-1414.59,244.08
-1413.16,252.38
-1410.95,230.29
-1409.54,243.59
-1404,259.09
-1403.84,231.69
-1401.56,247.1
-1399.26,259
-1396.72,231.6
-1395.9,243.4
-1392.41,254.51
-1387.4,235.42
-1386.27,244.42
-1385.29,254.22
-1380.41,230.52
-1379.45,244.13
-1378.33,255.63
-1374.96,236.93
-1374.28,246.93
-1372.41,257.13
-1366.75,227.34
-1364.03,244.35
-1359.92,251.55
-1355.82,235.46
-1354.53,242.96
-1352.35,250.26