x,PV+ bistr
-878.68,507.07
-874.89,468.07
-871.4,479.48
-865.57,496.69
-860.55,401.29
-858.43,443.5
-852.54,458.34
-850.36,382.51
-846.46,424.51
-844.76,437.51
-839.08,380.92
-836.93,418.12
-829.67,443.93
-822.5,383.94
-818.83,415.95
-815.1,436.95
-809.58,406.16
-805.3,434.36
-803.38,449.37
-794.18,409.38
-793.88,437.7
-792.71,461.78
-780.08,382
-777.74,437.6
-774.29,456.2
-771.94,360.41
-765.27,435.22
-762.12,453.22
-756.1,389.43
-753.45,442.23
-750.58,458.43
-747.53,394.64
-746.39,451.24
-744.1,465.44
-736.67,412.65
-734.71,432.05
-731.52,443.66
-722.25,381.27
-717.78,427.68
-709.7,463.29
-705.44,397.29
-703.69,452.29
-702.87,464.3
-696.93,411.5
-693,449.11
-690.1,465.31
-688.59,405.91
-685.34,457.72
-682.42,465.12
-675.06,399.96
-671.64,447.14
-669.01,454.74
-665.31,398.3
-664.49,448.95
-663.46,467.95
-659.9,430.19
-659.06,445.69
-658.16,452.87
-652.84,427.16
-650.31,450.56
-645.37,467.57
-642.32,403.37
-639.49,423.16
-638.83,437.52
-635.15,415.48
-634.23,451.44
-632.99,461.09
-627.07,439.3
-625.12,455.68
-622.25,470.4
-616.45,441.61
-614.79,462.81
-607.75,474.82
-606.42,451.42
-602.07,467.23
-599.44,474.03
-596.44,451.09
-593.94,458.75
-591.76,469.84
-588.8,442.5
-588.3,452.33
-586.86,461.65
-583,442.13
-580.28,464.1
-572.74,471.06
-567.94,413.07
-563.46,457.88
-559.98,470.08
-558.33,442.48
-552.82,463.29
-549.62,472.89
-545.9,445.7
-543.62,462.5
-540.41,470.3
-536.81,413.51
-533.78,452.31
-528.56,472.32
-523.59,434.53
-521.39,455.4
-519.02,463.53
-514.7,436.14
-510.94,454.34
-509.01,470.2
-503.67,452.19
-502.59,458.74
-498.19,472.1
-492.1,453.46
-491.22,463.67
-489.28,482.69
-483.91,459.01
-481.91,468.47
-479.37,478.38
-475.79,423.99
-473,454.99
-469.55,473.2
-466.06,434.4
-459.95,454.21
-455.61,472.61
-451.37,457.42
-449.05,466.62
-447.92,475.02
-446.01,453.23
-442.81,464.63
-438.42,474.04
-435.48,427.84
-432.69,458.04
-428.63,473.05
-424.91,446.45
-419.67,462.66
-416.19,475.46
-414.21,440.87
-406.6,458.68
-396.95,480.69
-391.75,453.7
-390.04,466.5
-386.54,475.9
-382.57,456.51
-380.27,469.11
-377.66,478.11
-372.2,457.92
-366.33,468.93
-359.59,482.34
-351.36,444.15
-348.81,462.15
-345.62,475.76
-342.19,447.16
-337.53,462.97
-334.67,479.17
-330.09,458.18
-328.63,469.78
-325.17,478.38
-320.58,453.59
-317.41,469.99
-309.48,482.6
-303.12,460.81
-299.95,476.01
-295.25,482.62
-291.25,458.83
-287.49,474.63
-273.61,484.85
-271.9,445.85
-266.11,470.46
-261.73,480.46
-258.06,463.27
-256.35,473.87
-253.43,482.27
-250.56,447.48
-247.72,468.28
-244.25,483.29
-241.69,452.69
-236.77,471.9
-232.99,484.5
-229.87,459.7
-226.99,473.71
-222.31,485.11
-217.06,449.52
-212.72,467.53
-202.73,483.54
-198.46,463.74
-196.45,474.35
-193.54,482.95
-188.34,456.16
-184.57,471.36
-180.77,480.77
-177.64,452.97
-176.25,467.97
-171.89,482.58
-170.5,448.18
-165.89,471.79
-160.06,487.79
-157.81,458.2
-154.04,473.4
-150.84,483.21
-146.24,457.81
-143.4,478.42
-131.59,488.03
-128.16,460.04
-122.03,476.04
-109.94,486.86
-105.21,440.66
-101.24,470.47
-91.57,489.48
-89.15,432.69
-81.97,470.89
-70.25,494.31
-66.18,458.31
-63.92,477.52
-61.6,487.32
-55.84,466.13
-53.55,479.73
-50.04,486.74
-42.98,446.34
-38.69,473.55
-29.6,491.16
-28.29,420.36
-22.38,473.77
-16.57,493.98
-15.45,454.98
-12.04,480.18
-5.86,488.39
-3.25,447.8
-1.9,480.6
1.3,488.2
4.09,459.61
8.75,474.61
15.5,487.02
19.62,441.43
20.31,475.83
21.13,487.83
27.82,459.44
30.68,477.64
39.79,490.05
44.56,436.66
48.84,465.46
52.56,486.87
56.34,449.67
57.39,473.27
63.8,492.08
65.46,461.88
68.69,478.36
70.94,488.29
77.65,456.9
78.72,476.7
82.53,483.71
86.29,450.11
93,469.52
98.17,491.51
109.89,468.35
110.95,478.3
114.84,484.73
116.44,466.72
119.17,477.81
123.55,489.44
129.84,460.56
139.63,476.13
146,490.57
151.54,469.41
153.9,481.63
159.82,491.47
165.7,475.22
168.25,486.19
171.53,495.85
181.1,468.88
182.43,483.17
194.16,489.85